household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
1612,24,576,0.21487497538671757,0.35238211458554736,-0.050791875248857345,0.0917383862810971,0.2869461794521663,1
1632,24,576,0.5049353640966324,0.8348887699594271,-0.1660896660371994,0.24372688857606384,0.586967017255827,1
1643,24,576,0.1188346857088618,0.22251296287349273,-0.032849768260752574,0.05547128964618264,0.14542361167776915,1
1656,24,576,0.3330067084170878,0.6120197358870332,-0.059926451248530715,0.2187621450222227,0.5197951403420625,1
1657,24,576,0.1415689734664435,0.22338778525851552,0.04478707145123432,0.2575341521140916,0.20063715404830873,1
1662,19,456,0.6716349900683813,0.9878164783603436,-0.20572788457860025,0.6667456865262311,0.8908815840749365,1
1666,19,456,0.10801104122870847,0.3818051943735475,-0.08108387204507987,0.0701137442720432,0.18198903566716532,1
1673,24,576,0.10386934540131026,0.22999656481101693,-0.0177930464140243,0.15250097270760288,0.1678489577025175,1
1674,24,576,0.14168129369823468,0.26119614503124194,-0.04750968991882271,0.2400906708245889,0.21363368115594816,1
1675,24,576,0.3942259090900835,0.6131123918495963,-0.08095515961758792,0.4424006585575544,0.596824653679505,1
1676,24,576,0.23902820738860303,0.4764216994082002,-0.1029234847260846,0.3541007988344054,0.30958680666258764,1
1681,24,576,0.1862518556881696,0.345881521130803,-0.05914564200470017,0.14358988735021516,0.2512135441777193,1
1683,24,576,0.1582762836608001,0.2744502352093275,-0.05082528718695459,0.23898322564057406,0.22022395826772684,1
1684,24,576,0.22888315645589805,0.3804075186702964,-0.10688635349247812,0.10152476457751625,0.2994861115649756,1
1699,24,576,0.09677872756340851,0.14971604419438175,-0.01919419112770508,0.3813403327158851,0.1418611113007905,1
1703,24,576,0.12680898467078805,0.24019254353268168,-0.05063675012853411,0.1934195749800297,0.16288368023621538,1
1705,24,576,0.09741864216792034,0.18654505904123633,-0.042667249005818225,0.06892949222204148,0.15040451407548971,1
1706,24,576,0.09793691096516947,0.16838864611737459,-0.01602799494543837,0.3096993391033739,0.13057812520613274,1
1720,24,576,0.4164678548566169,0.7147432103271647,-0.17316704887586334,0.17985294115353578,0.5715277797102721,1
1721,24,576,0.10110982125236963,0.1748849646917782,-0.029416454703702282,0.6730226374420926,0.13510763952055843,1
1724,24,576,0.10796974779158416,0.279096420864442,-0.06927570021556069,0.1643987814617941,0.10532118059280846,0
1726,24,576,0.10968146746745333,0.1908703009098306,-0.051258047997382365,0.398306171891291,0.1531232637450254,1
1729,24,576,0.15692259736048678,0.32667651821036525,-0.06832514447160065,0.12460337060487792,0.21803125056127706,1
1735,24,576,0.039509747106219746,0.059174659825469864,-0.009279244999763452,0.18219047671994415,0.05621527756253878,1
1759,24,576,0.6144610955897305,0.8416459222535584,0.024533386031786602,0.6659035821202941,0.8487343850235144,1
1772,24,576,0.11691294162948099,0.2649630209589743,-0.03972446144972411,0.019604525245492055,0.16748958388860855,1
1779,24,576,0.19602567406319496,0.29352056564622286,-0.031576449633575976,0.3551266185318277,0.26436805418537307,1
1783,24,576,0.5186183120434483,0.7558327375248715,-0.13088530457268158,0.35591129765878415,0.6957829859521654,1
1787,24,576,0.036300342099922195,0.08010903852934999,-0.011571032800323641,0.3431064962818614,0.06626215256983414,1
1814,24,576,0.025955646712746885,0.04149368976986187,-0.0021930314703947967,0.6976462820366649,0.0306145828217268,1
1816,24,576,0.17463141767722037,0.3305002266761713,-0.061896693866906896,0.09886525196776041,0.23821875119271377,1
1820,24,576,0.06744339081665708,0.1428541866988857,-0.03050338769228094,0.14700367377511048,0.11009027773980051,1
1824,24,576,0.317064843509191,0.5688489156372496,-0.12627301731845364,0.41992581820148356,0.40577604214518537,1
1825,24,576,0.17068016637737551,0.2974557527808834,-0.04186119998080863,0.3196578087920191,0.24298784872775692,1
1832,24,576,0.4605508584774927,0.7190339179040032,-0.1916081194778801,0.3460971291087147,0.5791961784189981,1
1838,24,576,0.2559087149113313,0.4467413326751554,-0.11273475354149316,0.2874070794987651,0.37277257088054383,1
1847,24,576,0.35406237186139655,0.5985327155950676,-0.034851877820781536,0.5211439430964827,0.40633333166543806,1
1859,24,576,0.5694416417455714,0.9063140509184481,-0.23854085713780174,0.0897872709784423,0.7189010386872623,1
1863,24,576,0.11879497510381043,0.20657194559580527,-0.03661786989929775,0.3408563412195421,0.15390625023671115,1
1874,24,576,0.22025602062543234,0.419019981915336,-0.07619963995077544,0.31753108141072484,0.2630555561691936,1
1881,15,360,0.1387052536269443,0.2683952702413878,-0.07710629848038984,0.22924132552533105,0.2192194430416243,1
1906,24,576,0.6306640416280263,0.8931986641862137,-0.0662706601433456,0.45965599722706774,0.8621996554235617,1
1908,24,576,0.08366955281235278,0.14337968546127303,-0.002019660702596108,0.5691674402549634,0.12104340292151189,1
1909,24,576,0.11709062742819595,0.22486069826556296,-0.022009080010724977,0.2719585321459129,0.15374131915288874,1
1917,4,96,0.10073074374425535,0.19408054196881033,-0.021096037370928872,0.5958206237585248,0.264208330559389,1
1921,24,576,0.2947580842171899,0.6174474155655283,-0.13428786708714646,0.28711908885323634,0.3844531238492992,1
1924,24,576,0.17461332976300684,0.2716748687958882,-0.004441597576563557,0.1584095264783263,0.2805468748168399,1
1931,24,576,0.0399597050790261,0.05671348605224801,-0.010223461787164625,0.6571296191094584,0.05076562464334226,1
1935,24,576,0.2005871199653484,0.3380304873106129,-0.08921171468035835,0.20084413976061455,0.2743003473022125,1
1937,24,576,0.37039892597951823,0.6309146057422648,-0.16485844371426436,0.3326700055064885,0.45416492867904407,1
1938,24,576,0.029602129445669964,0.04830523593545818,-0.005896238564875805,0.554906803213915,0.04010069427507309,1
1948,24,576,0.3349070014470878,0.530719647482609,-0.07467934065627763,0.5578616768764648,0.42910764183357564,1
1951,24,576,0.45664710596772945,0.8217252963702016,-0.1672772502966432,0.25023624715180703,0.5318142320158787,1
1952,24,576,0.3315358958983173,0.4946720782935942,-0.039012591897820435,0.34223368773608565,0.43661632347438073,1
1959,24,576,0.2796930058522978,0.40523087616107256,-0.08059517378246205,0.19656311693417483,0.4228559018035109,1
1960,24,576,0.36318476252361304,0.5650436026952914,-0.08317429766369362,0.3963186715499649,0.42804514192458654,1
1961,24,576,0.010041047590978755,0.04105092974486583,-0.006119951704426462,0.25237132521934724,0.015366319432764107,1
1974,24,576,0.15468085215737423,0.22715349915186914,-0.05022361170914438,0.34987602947110763,0.2251510419882834,1
1976,24,576,0.2219187161535956,0.3970535679669365,-0.09096100744661978,0.10808227894704048,0.2998593736427008,1
1987,24,576,0.11293650393943405,0.20990376492689888,-0.03499790331503997,0.3160006805710093,0.1609756949280078,1
1992,24,576,0.07534125512595186,0.17615039428818832,-0.04630877426825464,0.22589085752833526,0.12240277765603322,1
1994,24,576,0.24982857608443332,0.4739584548559278,-0.10528905459472702,0.19391254680229764,0.33824131848652744,1
